notification_date,lga_name19,confirmed_cases_count
2020-03-30,Sydney (C),2
2020-03-30,The Hills Shire (A),1
2020-03-30,Tweed (A),1
2020-03-30,Wagga Wagga (C),4
2020-03-30,Waverley (A),2
2020-03-30,Wingecarribee (A),1
2020-03-30,Wollongong (C),3
2020-03-30,Woollahra (A),3
2020-03-31,Bayside (A),5
2020-03-31,Bega Valley (A),1
2020-03-31,Berrigan (A),1
2020-03-31,Blacktown (C),6
2020-03-31,Broken Hill (C),1
2020-03-31,Camden (A),2
2020-03-31,Campbelltown (C) (NSW),2
2020-03-31,Canterbury-Bankstown (A),5
2020-03-31,Central Coast (C) (NSW),9
2020-03-31,Cessnock (C),1
2020-03-31,Cumberland (A),5
2020-03-31,Fairfield (C),1
2020-03-31,Federation (A),1
2020-03-31,Georges River (A),2
2020-03-31,Hawkesbury (C),1
2020-03-31,Hornsby (A),1
2020-03-31,Inner West (A),2
2020-03-31,Kiama (A),1
2020-03-31,Ku-ring-gai (A),6
2020-03-31,Lane Cove (A),3
2020-03-31,Liverpool (C),1
2020-03-31,Maitland (C),1
2020-03-31,Mosman (A),1
2020-03-31,Nambucca (A),1
2020-03-31,Newcastle (C),2
2020-03-31,North Sydney (A),2
2020-03-31,Northern Beaches (A),10
